;17 - de Jong Nigel;10 - Sneijder Wesley;3 - Heitinga John;19 - Huntelaar Klaas Jan;6 - de Zeeuw Demy;11 - Robben Arjen;7 - van Persie Robin;22 - Vennegoor of Hesselink Jan;5 - van Bronckhorst Giovanni;21 - Boulahrouz Khalid;16 - Stekelenburg Maarten;4 - Mathijsen Joris;20 - Afellay Ibrahim;1 - van der Sar Edwin;15 - de Cler Tim;23 - van der Vaart Rafael;8 - Engelaar Orlando;9 - van Nistelrooy Ruud ;2 - Ooijer André;14 - Bouma Wilfred;18 - Kuyt Dirk;12 - Melchiot Mario
17 - de Jong Nigel;;8;9;;;;7;;13;8;;8;2;9;;7;12;7;19;;8;
10 - Sneijder Wesley;18;1;3;;;2;3;;14;5;;14;7;8;;26;10;9;7;1;1;
3 - Heitinga John;8;;;;6;;5;;2;8;8;1;6;6;5;9;8;4;6;21;;3
19 - Huntelaar Klaas Jan;;;3;;3;1;1;;;3;;;4;;4;;2;;;2;;1
6 - de Zeeuw Demy;;;10;4;;4;4;1;;2;2;;6;;4;;9;;;11;4;4
11 - Robben Arjen;3;2;;4;;;2;;2;1;;1;2;1;7;;2;3;1;3;1;
7 - van Persie Robin;7;2;21;1;4;1;5;;5;7;2;;4;5;1;1;13;5;3;1;4;2
22 - Vennegoor of Hesselink Jan;;;1;;;;1;;;;1;;;;;;;;;;;1
5 - van Bronckhorst Giovanni;9;16;2;;;1;4;;;;;17;1;9;;7;8;4;6;3;2;
21 - Boulahrouz Khalid;13;4;8;1;5;;4;;2;1;;5;4;2;;2;9;3;17;1;7;
16 - Stekelenburg Maarten;;;4;;2;;;;;1;;;1;;1;;1;;;6;;1
4 - Mathijsen Joris;9;6;1;;;;1;;14;6;;;;16;;3;9;2;17;;2;
20 - Afellay Ibrahim;1;5;6;3;12;2;7;2;6;3;4;3;;1;7;9;12;1;2;2;;
1 - van der Sar Edwin;4;4;1;;;;1;;9;7;;7;1;;;5;5;;20;;1;
15 - de Cler Tim;;;3;3;5;1;2;;;2;4;;6;;;;9;;;12;2;
23 - van der Vaart Rafael;16;19;5;;;;3;;13;7;;9;6;8;;5;7;5;16;;4;
8 - Engelaar Orlando;15;14;6;3;12;3;6;;13;6;4;9;10;3;15;5;1;3;12;9;9;2
9 - van Nistelrooy Ruud ;6;19;1;;;3;4;;6;8;;4;2;11;;7;6;1;3;1;6;
2 - Ooijer André;15;7;4;;;;5;;5;15;;16;;22;;7;11;2;;;8;
14 - Bouma Wilfred;;1;22;;6;3;1;;;;10;;3;1;12;;9;;;;;
18 - Kuyt Dirk;8;3;;;2;;2;;;10;1;1;;5;2;9;9;7;5;1;;8
12 - Melchiot Mario;;;3;;5;;2;;;;1;;2;;1;;3;;;;6;
